Media,Tweet,Date & Time (UTC),Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
@BBCWorld,Minnesota town alerts residents over 'tipsy' birds https://t.co/wiRkFLFnef,Thu Oct 04 16:07:21 +0000 2018,0.0,0.0,0.0,1.0,1
@BBCWorld,"Staff working to keep Palu's airport open after Indonesia earthquake

[Tap to expand]

https://t.co/vcJMb3dkLR https://t.co/K4FvOzvcr8",Thu Oct 04 15:51:25 +0000 2018,0.0,0.0,0.0,1.0,2
@BBCWorld,"Senators spar over FBI report on Kavanaugh 

https://t.co/YmCqFgLyIA https://t.co/Rq0OIGBLjf",Thu Oct 04 15:47:34 +0000 2018,0.0,0.0,0.0,1.0,3
@BBCWorld,Archibald Knox exhibition: Liberty designer's 'sheer genius' celebrated https://t.co/aY3INXmfzo,Thu Oct 04 15:32:53 +0000 2018,0.7964,0.504,0.0,0.496,4
@BBCWorld,"""Without zoos nature will be doomed"" - @NatGeo photographer Joel Sartore responds to those who say keeping animals… https://t.co/u8tmQe8XiP",Thu Oct 04 15:03:11 +0000 2018,-0.6369,0.0,0.198,0.802,5
@BBCWorld,RT @BBCTech: Fitbit data used to charge US man with murder https://t.co/lMl2Q36Dcu,Thu Oct 04 15:01:34 +0000 2018,-0.6908,0.0,0.299,0.701,6
@BBCWorld,RT @bbcworldservice: The first 'exomoon' (that's a moon outside our Solar System for non-space experts) may have been found. Here's @david_…,Thu Oct 04 14:37:12 +0000 2018,0.0,0.0,0.0,1.0,7
@BBCWorld,"Julia Roberts: If Brett Kavanaugh gets on to the Supreme Court it ""will affect our children and our children's chil… https://t.co/ZvXI2T7Gp8",Thu Oct 04 14:33:59 +0000 2018,0.5574,0.153,0.0,0.847,8
@BBCWorld,Drew Barrymore: 'Surreal' article defended by EgyptAir https://t.co/weLSVAZGyd,Thu Oct 04 14:25:09 +0000 2018,0.0,0.0,0.0,1.0,9
@BBCWorld,How credible are lie detector tests? https://t.co/0MvQtC3LaM,Thu Oct 04 14:12:06 +0000 2018,0.0,0.0,0.0,1.0,10
@BBCWorld,"The staff working tirelessly to keep Palu's barely functional airport open, following the city's deadly earthquake… https://t.co/Vxd1Iu4d3B",Thu Oct 04 14:02:04 +0000 2018,0.0,0.0,0.0,1.0,11
@BBCWorld,"""Russia decided that it was fair game to flood the social and traditional media with the private medical informatio… https://t.co/ZdwDX9uqKn",Thu Oct 04 13:58:59 +0000 2018,0.3182,0.108,0.0,0.892,12
@BBCWorld,RT @BBCBreaking: US charges seven Russian military agents linked to global cyber hack of doping and other agencies https://t.co/Kki9xU6EUd,Thu Oct 04 13:45:40 +0000 2018,-0.2732,0.0,0.104,0.896,13
@BBCWorld,Cristiano Ronaldo: Juventus forward not in Portugal squad to face Scotland &amp; Poland https://t.co/j1fjXETfKA,Thu Oct 04 12:52:42 +0000 2018,0.0,0.0,0.0,1.0,14
@BBCWorld,Uganda army launches Ulinzi condom brand https://t.co/vHG8ua72Qn,Thu Oct 04 12:43:05 +0000 2018,0.0,0.0,0.0,1.0,15
@BBCWorld,The curious tale of a ladies hairdresser and the 'blast-proof' material https://t.co/GoIL2rG1x6 (via @BBC_Future) https://t.co/LYkTJdzNkP,Thu Oct 04 12:36:57 +0000 2018,0.3182,0.15,0.0,0.85,16
@BBCWorld,What we know about Russian 'OPCW plot' https://t.co/QZwYgk5mDB,Thu Oct 04 12:33:10 +0000 2018,0.0,0.0,0.0,1.0,17
@BBCWorld,Mystery over missing Saudi journalist Jamal Khashoggi deepens https://t.co/JA3WuiXU2I,Thu Oct 04 12:12:18 +0000 2018,-0.296,0.0,0.216,0.784,18
@BBCWorld,India under fire as it deports Rohingya Muslims to Myanmar https://t.co/NrX8kOOOP7,Thu Oct 04 12:01:37 +0000 2018,-0.34,0.0,0.194,0.806,19
@BBCWorld,Italian 'Robin Hood' banker sentenced over €1m pilfered for the poor https://t.co/DXCBcX8y6k,Thu Oct 04 11:13:25 +0000 2018,-0.4939,0.0,0.296,0.704,20
@BBCWorld,Minnesota town alerts residents over 'tipsy' birds https://t.co/wiRkFLFnef,Thu Oct 04 16:07:21 +0000 2018,0.0,0.0,0.0,1.0,21
@BBCWorld,"Staff working to keep Palu's airport open after Indonesia earthquake

[Tap to expand]

https://t.co/vcJMb3dkLR https://t.co/K4FvOzvcr8",Thu Oct 04 15:51:25 +0000 2018,0.0,0.0,0.0,1.0,22
@BBCWorld,"Senators spar over FBI report on Kavanaugh 

https://t.co/YmCqFgLyIA https://t.co/Rq0OIGBLjf",Thu Oct 04 15:47:34 +0000 2018,0.0,0.0,0.0,1.0,23
@BBCWorld,Archibald Knox exhibition: Liberty designer's 'sheer genius' celebrated https://t.co/aY3INXmfzo,Thu Oct 04 15:32:53 +0000 2018,0.7964,0.504,0.0,0.496,24
@BBCWorld,"""Without zoos nature will be doomed"" - @NatGeo photographer Joel Sartore responds to those who say keeping animals… https://t.co/u8tmQe8XiP",Thu Oct 04 15:03:11 +0000 2018,-0.6369,0.0,0.198,0.802,25
@BBCWorld,RT @BBCTech: Fitbit data used to charge US man with murder https://t.co/lMl2Q36Dcu,Thu Oct 04 15:01:34 +0000 2018,-0.6908,0.0,0.299,0.701,26
@BBCWorld,RT @bbcworldservice: The first 'exomoon' (that's a moon outside our Solar System for non-space experts) may have been found. Here's @david_…,Thu Oct 04 14:37:12 +0000 2018,0.0,0.0,0.0,1.0,27
@BBCWorld,"Julia Roberts: If Brett Kavanaugh gets on to the Supreme Court it ""will affect our children and our children's chil… https://t.co/ZvXI2T7Gp8",Thu Oct 04 14:33:59 +0000 2018,0.5574,0.153,0.0,0.847,28
@BBCWorld,Drew Barrymore: 'Surreal' article defended by EgyptAir https://t.co/weLSVAZGyd,Thu Oct 04 14:25:09 +0000 2018,0.0,0.0,0.0,1.0,29
@BBCWorld,How credible are lie detector tests? https://t.co/0MvQtC3LaM,Thu Oct 04 14:12:06 +0000 2018,0.0,0.0,0.0,1.0,30
@BBCWorld,"The staff working tirelessly to keep Palu's barely functional airport open, following the city's deadly earthquake… https://t.co/Vxd1Iu4d3B",Thu Oct 04 14:02:04 +0000 2018,0.0,0.0,0.0,1.0,31
@BBCWorld,"""Russia decided that it was fair game to flood the social and traditional media with the private medical informatio… https://t.co/ZdwDX9uqKn",Thu Oct 04 13:58:59 +0000 2018,0.3182,0.108,0.0,0.892,32
@BBCWorld,RT @BBCBreaking: US charges seven Russian military agents linked to global cyber hack of doping and other agencies https://t.co/Kki9xU6EUd,Thu Oct 04 13:45:40 +0000 2018,-0.2732,0.0,0.104,0.896,33
@BBCWorld,Cristiano Ronaldo: Juventus forward not in Portugal squad to face Scotland &amp; Poland https://t.co/j1fjXETfKA,Thu Oct 04 12:52:42 +0000 2018,0.0,0.0,0.0,1.0,34
@BBCWorld,Uganda army launches Ulinzi condom brand https://t.co/vHG8ua72Qn,Thu Oct 04 12:43:05 +0000 2018,0.0,0.0,0.0,1.0,35
@BBCWorld,The curious tale of a ladies hairdresser and the 'blast-proof' material https://t.co/GoIL2rG1x6 (via @BBC_Future) https://t.co/LYkTJdzNkP,Thu Oct 04 12:36:57 +0000 2018,0.3182,0.15,0.0,0.85,36
@BBCWorld,What we know about Russian 'OPCW plot' https://t.co/QZwYgk5mDB,Thu Oct 04 12:33:10 +0000 2018,0.0,0.0,0.0,1.0,37
@BBCWorld,Mystery over missing Saudi journalist Jamal Khashoggi deepens https://t.co/JA3WuiXU2I,Thu Oct 04 12:12:18 +0000 2018,-0.296,0.0,0.216,0.784,38
@BBCWorld,India under fire as it deports Rohingya Muslims to Myanmar https://t.co/NrX8kOOOP7,Thu Oct 04 12:01:37 +0000 2018,-0.34,0.0,0.194,0.806,39
@BBCWorld,Italian 'Robin Hood' banker sentenced over €1m pilfered for the poor https://t.co/DXCBcX8y6k,Thu Oct 04 11:13:25 +0000 2018,-0.4939,0.0,0.296,0.704,40
@BBCWorld,RT @gordoncorera: Breaking - Dutch intelligence (with help of British) disrupted a Russian GRU cyber operation targeting OPCW on April 13th…,Thu Oct 04 10:34:07 +0000 2018,0.7003,0.254,0.0,0.746,41
@BBCWorld,RT @BBCNews: Could AI and high-tech cameras help spot and prevent acts of violence? https://t.co/rA2sRYUtom,Thu Oct 04 10:13:30 +0000 2018,-0.3182,0.191,0.206,0.603,42
@BBCWorld,RT @BBCBreaking: Dutch security services expelled four Russians in April over plot targeting chemical weapons watchdog - officials https://…,Thu Oct 04 10:10:03 +0000 2018,-0.3612,0.108,0.22,0.673,43
@BBCWorld,Kanye West (Ye?) urges NFL player Colin Kaepernick to meet with Donald Trump https://t.co/FGvAIsrN7d,Thu Oct 04 10:04:07 +0000 2018,0.0,0.0,0.0,1.0,44
@BBCWorld,"RT @BBCNews: Sir David Attenborough: 'Population growth has to come to an end'

https://t.co/77GlU6hRg2 https://t.co/vvRAgVlwuj",Thu Oct 04 09:47:19 +0000 2018,0.3818,0.157,0.0,0.843,45
@BBCWorld,"Could this squat be a moment that sparks change? 

Donte Palmer was pictured changing his son's nappy on his lap be… https://t.co/O9HaUaxqAX",Thu Oct 04 09:40:45 +0000 2018,0.0,0.0,0.0,1.0,46
@BBCWorld,Dublin City Council planned to house on a 'cruise ship' https://t.co/9Dr2YHnaAk,Thu Oct 04 09:36:08 +0000 2018,0.0,0.0,0.0,1.0,47
@BBCWorld,RT @bbcworldservice: The beach from The Beach is now closed indefinitely.  @Prof_CallumYork explains why. https://t.co/f0Z0JSrFwC https://t…,Thu Oct 04 09:27:35 +0000 2018,0.0,0.0,0.0,1.0,48
@BBCWorld,Kim Kardashian bodyguard sued for $6.1m over Paris robbery https://t.co/w992Auinp7,Thu Oct 04 09:21:36 +0000 2018,0.0,0.0,0.0,1.0,49
@BBCWorld,Wife of former Malaysian PM Najib charged with money laundering https://t.co/zmZNdvgpUd,Thu Oct 04 07:14:01 +0000 2018,-0.2023,0.0,0.153,0.847,50
@BBCWorld,MTK Global's Irish boxers not competing in Ireland https://t.co/ulMjI84was,Thu Oct 04 05:36:49 +0000 2018,0.0,0.0,0.0,1.0,51
@BBCWorld,Economy to grow slowly but 'avoid recession' https://t.co/FqaXOj0yAv,Thu Oct 04 05:29:13 +0000 2018,-0.7579,0.0,0.52,0.48,52
@BBCWorld,Irish anti-abortion doctors in conscientious objection row https://t.co/DeztZ8T4SW,Thu Oct 04 05:06:04 +0000 2018,0.0,0.0,0.0,1.0,53
@BBCWorld,Brett Kavanaugh: Senate to get FBI report within hours https://t.co/PC8vzEsa2l,Thu Oct 04 04:46:51 +0000 2018,0.0,0.0,0.0,1.0,54
@BBCWorld,Six rescue divers drown trying to save teen in Malaysia https://t.co/jMjB6lSrhZ,Thu Oct 04 04:42:56 +0000 2018,0.4215,0.357,0.203,0.44,55
@BBCWorld,"This veteran Nat Geo photographer believes zoos are needed for conservation.

[Tap to expand]… https://t.co/b57Mz5UyLZ",Thu Oct 04 03:19:20 +0000 2018,0.0,0.0,0.0,1.0,56
@BBCWorld,Priyanka Chopra invests in dating app Bumble https://t.co/luGLJgHFRA,Thu Oct 04 02:57:48 +0000 2018,0.0,0.0,0.0,1.0,57
@BBCWorld,United Airlines flight lands safely after mayday call https://t.co/UkKWkYHvYw,Thu Oct 04 00:45:56 +0000 2018,0.7184,0.462,0.0,0.538,58
@BBCWorld,Cameroon's Anglophone crisis: Red Dragons and Tigers - the rebels fighting for independence https://t.co/AiG04XAmub,Thu Oct 04 00:37:41 +0000 2018,-0.8126,0.0,0.457,0.543,59
@BBCWorld,The Indian state where police kill with impunity https://t.co/LG0okXcqHi,Thu Oct 04 00:30:17 +0000 2018,-0.6908,0.0,0.37,0.63,60
@BBCWorld,"South Carolina: Five police officers shot, suspect in custody https://t.co/ZIYyEoDuu2",Wed Oct 03 23:47:26 +0000 2018,-0.296,0.0,0.196,0.804,61
@BBCWorld,US to end Treaty of Amity with Iran after ICJ ruling https://t.co/R2cB697pXy,Wed Oct 03 23:28:45 +0000 2018,0.0,0.0,0.0,1.0,62
@BBCWorld,Brett Kavanaugh accusations: Are young men in America scared? https://t.co/DRFQ4ZqNYp,Wed Oct 03 22:45:11 +0000 2018,-0.6369,0.0,0.394,0.606,63
@BBCWorld,"RT @BBCSport: Lionel Messi was sensational as Barcelona beat Spurs in a thrilling game at Wembley.

https://t.co/OanJjT2omx https://t.co/y2…",Wed Oct 03 21:49:08 +0000 2018,0.4767,0.162,0.0,0.838,64
@BBCWorld,"Three things you need to know about the #presidentialalert system 

(Tap video to expand) https://t.co/u26NRuLfbH https://t.co/TuDNEZzDPb",Wed Oct 03 21:35:01 +0000 2018,0.0,0.0,0.0,1.0,65
@BBCWorld,"RT @BBCSport: FT: Spurs 2-4 Barcelona
Napoli 1-0 Liverpool 

A miserable night for English teams in the Champions League.

Reaction: https:…",Wed Oct 03 20:55:23 +0000 2018,0.0516,0.138,0.13,0.732,66
@BBCWorld,"RT @BBCNewsnight: ""My suspicion is that people will realise that the United States’ attitude is outdated.""

Sir David Attenborough says he…",Wed Oct 03 20:33:36 +0000 2018,0.0516,0.115,0.107,0.779,67
@BBCWorld,Pentagon quarantine 'sparked by castor seeds' not ricin poison https://t.co/PMfYqaAMhC,Wed Oct 03 20:01:21 +0000 2018,0.431,0.241,0.0,0.759,68
@BBCWorld,Guitar-playing politician @BetoORourke is dazzling Democrats in Texas #2018midterms https://t.co/qoURCMXAnY https://t.co/tWRdNgqM3w,Wed Oct 03 19:53:34 +0000 2018,0.0,0.0,0.0,1.0,69
@BBCWorld,Peru court reverses ex-president Alberto Fujimori's pardon https://t.co/hLv5F7PpLE,Wed Oct 03 19:41:00 +0000 2018,0.3182,0.247,0.0,0.753,70
@BBCWorld,"RT @BBCSport: FT PSG 6-1 Red Star

A big, big win for Thomas Tuchel's side.

#UCL https://t.co/LVTlbYKjXk #bbcfootball https://t.co/ebbOFsd…",Wed Oct 03 18:50:49 +0000 2018,0.5859,0.183,0.0,0.817,71
@BBCWorld,India Ganges 'rape video': Two men arrested https://t.co/yBLprBSJwH,Wed Oct 03 18:37:19 +0000 2018,-0.8316,0.0,0.565,0.435,72
@BBCWorld,Rédoine Faïd case: French gangster evaded police in burqa https://t.co/NiD5lzNu2N,Wed Oct 03 18:37:10 +0000 2018,0.0,0.0,0.0,1.0,73
@BBCWorld,"THIS IS A TEST #presidentialalert

https://t.co/RmaBYY3QRQ https://t.co/mbNFeOHHnz",Wed Oct 03 18:31:15 +0000 2018,0.0,0.0,0.0,1.0,74
@BBCWorld,"Millions of mobiles get 'Trump alert'

https://t.co/RmaBYY3QRQ https://t.co/4MfUXBP3VR",Wed Oct 03 18:24:14 +0000 2018,0.296,0.239,0.0,0.761,75
@BBCWorld,RT @BBCNorthAmerica: Canada surgeon operates on teddy bear for 8-year-old boy https://t.co/iMqZ3iPYZ3,Wed Oct 03 16:41:47 +0000 2018,0.0,0.0,0.0,1.0,76
@BBCWorld,"RT @bbcworldservice: ""I'd rather fix boats than go to school.""
This teenager says he's the best boat mechanic in the world's largest floati…",Wed Oct 03 16:31:01 +0000 2018,0.6369,0.16,0.0,0.84,77
@BBCWorld,Guinea-Bissau migrant shipwreck: Dozens feared dead https://t.co/fwnX8FHTpr,Wed Oct 03 16:19:33 +0000 2018,-0.8176,0.0,0.6,0.4,78
@BBCWorld,"RT @marklowen: Reports coming in of police activity around #Gulen’s residence in #Pennsylvania. Sketchy but some talk of an armed man, heli…",Wed Oct 03 16:13:14 +0000 2018,0.0,0.0,0.0,1.0,79
@BBCWorld,Cristiano Ronaldo rape allegation: Footballer denies attack https://t.co/o5g3UOWZIh,Wed Oct 03 15:47:05 +0000 2018,-0.891,0.0,0.679,0.321,80
@BBCWorld,Indonesia tsunami: Authorities fight fake news https://t.co/Hsref3FSLN,Wed Oct 03 15:27:51 +0000 2018,-0.6908,0.0,0.533,0.467,81
@BBCWorld,RT @BBCNorthAmerica: Republicans deplore Trump mocking Judge Kavanaugh's accuser https://t.co/zDqXo2M2bi,Wed Oct 03 14:39:04 +0000 2018,-0.4019,0.0,0.231,0.769,82
@BBCWorld,"""She is two years old. The only words she knows are Mami and Papi"" 

This woman is desperately searching for her ni… https://t.co/GRMWvfTx8F",Wed Oct 03 14:16:30 +0000 2018,-0.3818,0.0,0.106,0.894,83
@BBCWorld,"RT @BBCSport: ""Probably one of the worst days of my life.""

Brooks Koepka says he is heartbroken that one of his tee shots resulted in a sp…",Wed Oct 03 13:33:41 +0000 2018,-0.8555,0.0,0.259,0.741,84
@BBCWorld,Skripal poisoning: Putin denounces ex-spy as 'scum' https://t.co/lnPsyhEEUi,Wed Oct 03 13:22:33 +0000 2018,-0.7717,0.0,0.528,0.472,85
@BBCWorld,"Melania Trump, US first lady, visits Ghana slave fort https://t.co/PfebzuuRHY",Wed Oct 03 13:18:57 +0000 2018,0.0,0.0,0.0,1.0,86
@BBCWorld,How India avoided its 'Lehman Brothers moment' https://t.co/Y3icW4e0YI,Wed Oct 03 12:52:37 +0000 2018,-0.34,0.0,0.255,0.745,87
@BBCWorld,Beto O'Rourke: Democrats dazzled by rising star in Texas https://t.co/x7Qen7xCIc,Wed Oct 03 12:47:02 +0000 2018,0.0,0.0,0.0,1.0,88
@BBCWorld,Rédoine Faïd case: Why does France love its gangsters? https://t.co/WFBnae1qjy,Wed Oct 03 12:40:09 +0000 2018,0.6369,0.318,0.0,0.682,89
@BBCWorld,Trump's parents and siblings: What do we know of them? https://t.co/q23jwQ09Qy,Wed Oct 03 12:32:42 +0000 2018,0.0,0.0,0.0,1.0,90
@BBCWorld,Croatian court rejects perjury charge against Luka Modric https://t.co/ZmZzmdLdPR,Wed Oct 03 12:21:13 +0000 2018,-0.7269,0.0,0.466,0.534,91
@BBCWorld,Finland school poster sparks migration row https://t.co/uCPN7Mdv6v,Wed Oct 03 11:54:42 +0000 2018,0.0,0.0,0.0,1.0,92
@BBCWorld,'Cross-border element' to Irish gangland feud https://t.co/QJYdrbg4Sn,Wed Oct 03 11:43:45 +0000 2018,-0.34,0.0,0.286,0.714,93
@BBCWorld,Hornbill gets 3D-printed prosthetic casque after cancer https://t.co/utAJmHXLCe,Wed Oct 03 11:17:11 +0000 2018,-0.6597,0.0,0.386,0.614,94
@BBCWorld,Indonesia tsunami: Frustration in remote areas waiting for aid https://t.co/Mf5QNxSlyA,Wed Oct 03 11:09:45 +0000 2018,-0.4767,0.0,0.256,0.744,95
@BBCWorld,2018 Nobel Prize in Chemistry awarded to three scientists for their discoveries in enzyme research https://t.co/VlBMXhPfQq,Wed Oct 03 10:38:01 +0000 2018,0.7184,0.3,0.0,0.7,96
@BBCWorld,Sanctions on Iran: International Court of Justice rules against US https://t.co/pYk5SxJPYs,Wed Oct 03 10:35:28 +0000 2018,0.5267,0.254,0.0,0.746,97
@BBCWorld,Saudi journalist Jamal Khashoggi — a fierce critic of his country's policies — disappears after consular trip https://t.co/bn9Vdxx2w1,Wed Oct 03 10:25:10 +0000 2018,-0.5423,0.0,0.257,0.743,98
@BBCWorld,"Trump mocks Christine Blasey Ford, who has accused Supreme Court nominee Brett Kavanaugh of sexual assault when the… https://t.co/vQpcXnMHwr",Wed Oct 03 09:57:49 +0000 2018,-0.6597,0.13,0.326,0.543,99
@BBCWorld,Kerala flood aftermath: Battling snakes and sewage to clean a city https://t.co/M9npIvFpd0,Wed Oct 03 09:42:03 +0000 2018,0.1531,0.196,0.152,0.652,100
@CBSNews,Soyuz capsule brings three station fliers back to Earth after 6 months in orbit https://t.co/MUOpfqtFzL https://t.co/Cgl6pvLr3g,Thu Oct 04 15:59:33 +0000 2018,0.0,0.0,0.0,1.0,1
@CBSNews,"""You were surprised, why? I think the Democratic strategy is clear. Stall and re-stall...this is smashmouth raw pol… https://t.co/pdGW6ONpuD",Thu Oct 04 15:56:34 +0000 2018,0.4019,0.211,0.085,0.704,2
@CBSNews,"WATCH: Democrats address FBI report on Kavanaugh

""Dr. Ford came forward and won America's hearts. Our Republican c… https://t.co/gR2kSH7ryW",Thu Oct 04 15:52:46 +0000 2018,0.5719,0.171,0.0,0.829,3
@CBSNews,Fourth victim dies from L.A.-area attacks on mostly homeless men https://t.co/tE0oVZvDLw https://t.co/qHWnU0HxpS,Thu Oct 04 15:44:40 +0000 2018,-0.6124,0.0,0.333,0.667,4
@CBSNews,"Astronomers find signs of ""exomoon"" in distant solar system https://t.co/d6riKDgYfL https://t.co/p2lZJLn6wh",Thu Oct 04 15:29:33 +0000 2018,0.0,0.0,0.0,1.0,5
@CBSNews,"""The facts do not support the allegations levied at Judge Kavanaugh's character,"" Senate Majority Leader Mitch McCo… https://t.co/zsK9Vj3Hqo",Thu Oct 04 15:26:59 +0000 2018,-0.3089,0.0,0.117,0.883,6
@CBSNews,"When Walmart said it was raising wages in early 2015, the retailing behemoth may have unwittingly started a trend… https://t.co/bXRd1JvQxu",Thu Oct 04 15:14:38 +0000 2018,0.0,0.0,0.0,1.0,7
@CBSNews,"""The most notable part of this report is what's not in it."" Senate Democrats are detailing the latest FBI report on… https://t.co/ak1GKVPKf9",Thu Oct 04 15:11:37 +0000 2018,0.0,0.0,0.0,1.0,8
@CBSNews,WATCH: This dog floated on a couch in the middle of a flooded house for nearly two weeks. And his rescue will melt… https://t.co/9aAkEtJcjJ,Thu Oct 04 15:00:58 +0000 2018,0.5106,0.136,0.0,0.864,9
@CBSNews,Vice President Pence plans to accuse China of trying to undermine President Trump as the administration deploys tou… https://t.co/7RWFBMhK87,Thu Oct 04 14:44:37 +0000 2018,-0.4588,0.0,0.19,0.81,10
@CBSNews,"MIRACLE WORKER: His whole life, this 6-year-old Texas boy was unable to speak. Then, a trip to the dentist changed… https://t.co/sFVEB8wmoY",Thu Oct 04 14:30:30 +0000 2018,0.6739,0.193,0.0,0.807,11
@CBSNews,The U.S. Justice Department has charged seven Russian military intelligence officers with hacking anti-doping agenc… https://t.co/RpmWefLpId,Thu Oct 04 14:14:46 +0000 2018,0.6908,0.305,0.085,0.61,12
@CBSNews,"Pres. Trump received at least $413 million in today's dollars from his father, much of that through questionable ta… https://t.co/GL8Ge1mUfq",Thu Oct 04 14:00:00 +0000 2018,-0.296,0.0,0.104,0.896,13
@CBSNews,"""The defendants targeted athletes and anti-doping agencies as retaliation for the outing of Russia's state sponsore… https://t.co/XunrnySmpO",Thu Oct 04 13:52:55 +0000 2018,0.0,0.0,0.0,1.0,14
@CBSNews,"A family thought their 6-year-old son couldn’t speak, but a 30-second procedure at the dentist changed his life… https://t.co/x7Q9RheCjt",Thu Oct 04 13:44:39 +0000 2018,0.0,0.0,0.0,1.0,15
@CBSNews,"Cristiano Ronaldo accuser had suicidal thoughts after alleged rape, lawyer says https://t.co/o0vsgTeXY8 https://t.co/seSbapHiFC",Thu Oct 04 13:30:38 +0000 2018,-0.8807,0.0,0.455,0.545,16
@CBSNews,Judge cites Trump comments in blocking U.S. move against immigrants from 4 nations https://t.co/fYSrCH4bhX https://t.co/4TnIbN060U,Thu Oct 04 13:16:00 +0000 2018,-0.3818,0.0,0.167,0.833,17
@CBSNews,"A good credit score could impact your ability to get a new home or car. But credit card debt, with high interest ra… https://t.co/BC5gr5sqnT",Thu Oct 04 13:00:34 +0000 2018,0.8201,0.399,0.101,0.499,18
@CBSNews,RT @CBSThisMorning: Researchers from the Washington University School of Medicine in St. Louis found consuming one to two drinks four or mo…,Thu Oct 04 12:58:19 +0000 2018,0.0,0.0,0.0,1.0,19
@CBSNews,A 30-year South Carolina police veteran was killed and 6 of his comrades were wounded when a man opened fire from i… https://t.co/WNgRnuhALU,Thu Oct 04 12:44:53 +0000 2018,-0.7845,0.0,0.277,0.723,20
@CBSNews,Soyuz capsule brings three station fliers back to Earth after 6 months in orbit https://t.co/MUOpfqtFzL https://t.co/Cgl6pvLr3g,Thu Oct 04 15:59:33 +0000 2018,0.0,0.0,0.0,1.0,21
@CBSNews,"""You were surprised, why? I think the Democratic strategy is clear. Stall and re-stall...this is smashmouth raw pol… https://t.co/pdGW6ONpuD",Thu Oct 04 15:56:34 +0000 2018,0.4019,0.211,0.085,0.704,22
@CBSNews,"WATCH: Democrats address FBI report on Kavanaugh

""Dr. Ford came forward and won America's hearts. Our Republican c… https://t.co/gR2kSH7ryW",Thu Oct 04 15:52:46 +0000 2018,0.5719,0.171,0.0,0.829,23
@CBSNews,Fourth victim dies from L.A.-area attacks on mostly homeless men https://t.co/tE0oVZvDLw https://t.co/qHWnU0HxpS,Thu Oct 04 15:44:40 +0000 2018,-0.6124,0.0,0.333,0.667,24
@CBSNews,"Astronomers find signs of ""exomoon"" in distant solar system https://t.co/d6riKDgYfL https://t.co/p2lZJLn6wh",Thu Oct 04 15:29:33 +0000 2018,0.0,0.0,0.0,1.0,25
@CBSNews,"""The facts do not support the allegations levied at Judge Kavanaugh's character,"" Senate Majority Leader Mitch McCo… https://t.co/zsK9Vj3Hqo",Thu Oct 04 15:26:59 +0000 2018,-0.3089,0.0,0.117,0.883,26
@CBSNews,"When Walmart said it was raising wages in early 2015, the retailing behemoth may have unwittingly started a trend… https://t.co/bXRd1JvQxu",Thu Oct 04 15:14:38 +0000 2018,0.0,0.0,0.0,1.0,27
@CBSNews,"""The most notable part of this report is what's not in it."" Senate Democrats are detailing the latest FBI report on… https://t.co/ak1GKVPKf9",Thu Oct 04 15:11:37 +0000 2018,0.0,0.0,0.0,1.0,28
@CBSNews,WATCH: This dog floated on a couch in the middle of a flooded house for nearly two weeks. And his rescue will melt… https://t.co/9aAkEtJcjJ,Thu Oct 04 15:00:58 +0000 2018,0.5106,0.136,0.0,0.864,29
@CBSNews,Vice President Pence plans to accuse China of trying to undermine President Trump as the administration deploys tou… https://t.co/7RWFBMhK87,Thu Oct 04 14:44:37 +0000 2018,-0.4588,0.0,0.19,0.81,30
@CBSNews,"MIRACLE WORKER: His whole life, this 6-year-old Texas boy was unable to speak. Then, a trip to the dentist changed… https://t.co/sFVEB8wmoY",Thu Oct 04 14:30:30 +0000 2018,0.6739,0.193,0.0,0.807,31
@CBSNews,The U.S. Justice Department has charged seven Russian military intelligence officers with hacking anti-doping agenc… https://t.co/RpmWefLpId,Thu Oct 04 14:14:46 +0000 2018,0.6908,0.305,0.085,0.61,32
@CBSNews,"Pres. Trump received at least $413 million in today's dollars from his father, much of that through questionable ta… https://t.co/GL8Ge1mUfq",Thu Oct 04 14:00:00 +0000 2018,-0.296,0.0,0.104,0.896,33
